user_idx,window_number,method,family,historical_weight,shift_signal,historical_loss,online_loss,method_loss,historical_coverage,online_coverage,expected_coverage
802,6,StaticMixture,static,0.25,0.3886537123995772,0.832,0.628,0.6789999999999999,0.168,0.372,0.32100000000000006
802,6,Hedge,hedge,0.02347647466178484,0.3886537123995772,0.832,0.628,0.6327892008310042,0.168,0.372,0.3672107991689958
802,6,ShiftAwareAdaptiveTrust,shift,0.4203521507285664,0.3886537123995772,0.832,0.628,0.7137518387486276,0.168,0.372,0.2862481612513724
802,7,PredictionOnly,prediction,1.0,0.3500518012399497,0.756,0.23199999999999998,0.756,0.244,0.768,0.244
802,7,OnlineOnly,online,0.0,0.3500518012399497,0.756,0.23199999999999998,0.23199999999999998,0.244,0.768,0.768
802,7,StaticMixture,static,0.25,0.3500518012399497,0.756,0.23199999999999998,0.363,0.244,0.768,0.637
802,7,Hedge,hedge,0.01573511831219649,0.3500518012399497,0.756,0.23199999999999998,0.24024520199559093,0.244,0.768,0.759754798004409
802,7,ShiftAwareAdaptiveTrust,shift,0.4537659716224334,0.3500518012399497,0.756,0.23199999999999998,0.4697733691301551,0.244,0.768,0.5302266308698449
802,8,PredictionOnly,prediction,1.0,0.33719532626842075,0.736,0.36,0.736,0.264,0.64,0.264
802,8,OnlineOnly,online,0.0,0.33719532626842075,0.736,0.36,0.36,0.264,0.64,0.64
802,8,StaticMixture,static,0.25,0.33719532626842075,0.736,0.36,0.454,0.264,0.64,0.546
802,8,Hedge,hedge,0.0055742924372047635,0.33719532626842075,0.736,0.36,0.362095933956389,0.264,0.64,0.637904066043611
802,8,ShiftAwareAdaptiveTrust,shift,0.4314937401906523,0.33719532626842075,0.736,0.36,0.5222416463116852,0.264,0.64,0.47775835368831476
802,9,PredictionOnly,prediction,1.0,0.30963390550320913,0.744,0.09599999999999997,0.744,0.256,0.904,0.256
802,9,OnlineOnly,online,0.0,0.30963390550320913,0.744,0.09599999999999997,0.09599999999999997,0.256,0.904,0.904
802,9,StaticMixture,static,0.25,0.30963390550320913,0.744,0.09599999999999997,0.258,0.256,0.904,0.742
802,9,Hedge,hedge,0.002635614036038711,0.30963390550320913,0.744,0.09599999999999997,0.09770787789535305,0.256,0.904,0.9022921221046469
802,9,ShiftAwareAdaptiveTrust,shift,0.44185395709371167,0.30963390550320913,0.744,0.09599999999999997,0.38232136419672513,0.256,0.904,0.6176786358032749
802,10,PredictionOnly,prediction,1.0,0.29778498633460554,0.808,0.33599999999999997,0.808,0.192,0.664,0.19199999999999995
802,10,OnlineOnly,online,0.0,0.29778498633460554,0.808,0.33599999999999997,0.33599999999999997,0.192,0.664,0.664
802,10,StaticMixture,static,0.25,0.29778498633460554,0.808,0.33599999999999997,0.454,0.192,0.664,0.546
802,10,Hedge,hedge,0.0007225508123214878,0.29778498633460554,0.808,0.33599999999999997,0.3363410439834157,0.192,0.664,0.6636589560165843
802,10,ShiftAwareAdaptiveTrust,shift,0.4120016052419847,0.29778498633460554,0.808,0.33599999999999997,0.5304647576742167,0.192,0.664,0.46953524232578325
802,11,PredictionOnly,prediction,1.0,0.2951018973466903,0.848,0.26,0.848,0.152,0.74,0.15200000000000002
802,11,OnlineOnly,online,0.0,0.2951018973466903,0.848,0.26,0.26,0.152,0.74,0.74
802,11,StaticMixture,static,0.25,0.2951018973466903,0.848,0.26,0.40700000000000003,0.152,0.74,0.593
802,11,Hedge,hedge,0.0002812458710040103,0.2951018973466903,0.848,0.26,0.2601653725721504,0.152,0.74,0.7398346274278496
802,11,ShiftAwareAdaptiveTrust,shift,0.4081433565907627,0.2951018973466903,0.848,0.26,0.49998829367536846,0.152,0.74,0.5000117063246315
802,12,PredictionOnly,prediction,1.0,0.2963801629239976,0.724,0.4,0.724,0.276,0.6,0.276
802,12,OnlineOnly,online,0.0,0.2963801629239976,0.724,0.4,0.4,0.276,0.6,0.6
802,12,StaticMixture,static,0.25,0.2963801629239976,0.724,0.4,0.48100000000000004,0.276,0.6,0.5189999999999999
802,12,Hedge,hedge,8.678412993227807e-05,0.2963801629239976,0.724,0.4,0.4000281180580981,0.276,0.6,0.5999718819419019
802,12,ShiftAwareAdaptiveTrust,shift,0.38979146061082637,0.2963801629239976,0.724,0.4,0.5262924332379078,0.276,0.6,0.47370756676209225
802,13,PredictionOnly,prediction,1.0,0.2648070684374438,0.604,0.33599999999999997,0.604,0.396,0.664,0.396
