user_idx,n_windows,spearman_rho,spearman_p_value
132,16,-0.27982357298344906,0.29387666736086315
133,15,-0.5833476136799064,0.022446601415369048
135,18,-0.0608875128998968,0.8103299008966292
136,5,,
139,29,0.15811388300841897,0.4126795258096803
140,14,-0.07151842500282787,0.8080377206132288
145,29,-0.4068098297671854,0.028517963426450604
147,27,-0.4429848875957328,0.020661731107816387
149,4,0.7999999999999999,0.2000000000000001
150,4,0.0,1.0
152,7,-0.037062465833055065,0.9371240086628561
153,48,0.01746821987045828,0.9061927329158629
154,18,-0.6838012063719658,0.0017530857844873585
157,9,-0.65,0.058073058017148654
158,19,-0.5006591960674048,0.02901181591014235
159,7,0.6071428571428572,0.14823116148116164
160,10,-0.3938927711338647,0.26005926393428797
163,9,0.09999999999999999,0.797971695234851
165,3,-0.5,0.6666666666666666
167,7,0.3571428571428572,0.431611352038328
168,20,-0.5775814236797222,0.007655349696435392
170,3,-0.8660254037844387,0.33333333333333326
172,12,,
176,12,-0.2527090476712424,0.4281010043604104
177,3,-1.0,0.0
178,19,-0.3437678123338377,0.14956319809747165
179,5,-0.6,0.28475697986529386
180,11,-0.4510262271024232,0.16381594539485245
183,4,0.21081851067789195,0.7891814893221081
185,4,0.7999999999999999,0.2000000000000001
186,16,-0.3714084242028702,0.15666122463279886
187,5,-0.09999999999999999,0.8728885715695384
188,15,-0.3088016065073769,0.2627667337402492
189,5,-0.09999999999999999,0.8728885715695384
193,8,0.6819309069874762,0.06247623884806762
194,5,-0.3,0.623837664781073
197,35,-0.4264867385903801,0.010624082484445196
200,3,0.5,0.6666666666666666
201,18,-0.6528929103700036,0.0033085843852055058
203,20,-0.37232044754094357,0.10596551885296078
204,13,-0.29765892525495413,0.3232909158317353
206,5,0.0,1.0
207,6,-0.028571428571428574,0.9571545189504373
208,9,-0.6554675286842364,0.055293404906068225
213,14,-0.6482946157276674,0.012154327831177428
215,6,-0.6982532518267538,0.12283946337339603
216,4,-0.316227766016838,0.683772233983162
217,10,-0.23636363636363633,0.5108853175152003
220,13,-0.30870397548213135,0.3047768618643308
221,10,0.45021988762612014,0.19166545641812696
222,3,0.5,0.6666666666666666
224,6,,
225,3,0.5,0.6666666666666666
227,8,-0.19162020190612142,0.6494102011224532
230,43,-0.22399275405825564,0.1487509516684775
231,9,0.6554853293164941,0.055284496081978766
232,15,-0.09901314981950202,0.7255339615337696
233,3,,
234,8,-0.25197631533948484,0.5471616124270275
235,5,-0.09999999999999999,0.8728885715695384
236,8,-0.5149792926227014,0.19154931341586579
237,3,0.5,0.6666666666666666
238,11,-0.18678863950706415,0.5823613748406503
244,25,-0.20392460147416697,0.32819913310159426
245,22,-0.8347573696981178,1.3589736000753815e-06
246,8,-0.011976262619132589,0.977546654703887
247,4,-0.39999999999999997,0.6000000000000001
249,4,-0.39999999999999997,0.6000000000000001
250,27,0.27169946952999074,0.17039380105334714
251,8,-0.1666666666666667,0.693238811728395
254,11,-0.0908062460746855,0.7906053349204905
255,8,,
256,5,-0.39999999999999997,0.5046315754686912
257,7,0.11118739749916519,0.8124070154613051
259,6,-0.8116794499134279,0.04985758510134036
261,6,0.26482044885142486,0.612055238565705
262,8,-0.4761904761904762,0.23293553465009798
263,3,1.0,0.0
264,8,-0.21821789023599242,0.6036450565101362
266,12,-0.43266764140701863,0.160069288160567
267,27,0.23626373626373626,0.23544081404686212
268,49,-0.1010473365591111,0.4896643345081721
270,5,,
271,3,0.5,0.6666666666666666
272,4,0.7999999999999999,0.2000000000000001
273,4,0.2581988897471611,0.741801110252839
274,17,-0.7268275063305668,0.0009489759367438729
275,13,0.008253102718210942,0.9786522347721123
277,6,-0.37032803990902063,0.4699018628730875
278,7,0.054554472558998104,0.9075232086487943
281,5,0.41039134083406165,0.49253578170279755
282,16,-0.2604857217345777,0.3298656564273068
285,24,-0.3255714658689912,0.12055005129854345
286,13,-0.027472527472527472,0.9290117291603509
288,7,0.21428571428571433,0.6445115810207203
290,36,-0.48119560307288584,0.002967967094971197
292,7,-0.5225437283634242,0.22887787757609507
294,7,0.39285714285714296,0.3833168704269727
295,13,-0.5006882315714638,0.08137738388003872
297,11,-0.371850409805781,0.26013695294155226
300,11,0.21866378944364065,0.5183025814730874
303,8,-0.5769586239647777,0.13430118862983778
304,30,-0.42153450861663133,0.020338937388144775
308,15,,
310,6,-0.7142857142857143,0.11078717201166179
311,5,-0.10259783520851541,0.8695979205185651
313,7,-0.6666937223947137,0.1019204602461823
314,9,-0.39497192920352836,0.292768823672754
316,4,-0.7378647873726218,0.26213521262737816
317,6,0.101418510567422,0.8483938150603566
320,24,0.33391558295742496,0.11078395155933156
327,5,0.39999999999999997,0.5046315754686912
328,17,-0.09765111112300595,0.7092593247084941
330,9,-0.785068999090738,0.01219461264208815
331,8,-0.7075275528876865,0.0496282607348613
334,15,-0.5448063668768169,0.0357221347998563
335,20,-0.5775608959496382,0.007658015502914872
336,8,,
337,4,-0.6000000000000001,0.4
338,35,-0.04027603118076087,0.8183126745915394
339,44,-0.5708846758681084,5.19698254137565e-05
340,3,-1.0,0.0
341,5,-0.09999999999999999,0.8728885715695384
343,5,-0.44721359549995787,0.45018485575210104
344,4,0.8944271909999159,0.10557280900008416
346,11,-0.6942987397062713,0.017763217409126134
347,32,-0.6667754571365924,3.08576836276404e-05
